Name,Description,Years lived,Name,Description,Years lived,Name,Description,Years lived
Daniel Ash,"English musician and singer-songwriter (Bauhaus, Tones on Tail and Love an",1957 -,Yuen Biao,Hong Kong actor and martia,1957 -,Hart Hanson,American screenwriter an,1957 -
Monti Davis,American basketball player,55,Angela Hewitt,Canadian-Englis,1958 -,Thierry Gilardi,French sportscaster,50
Tom McGowan,America,1959 -,Michael Bruce Ross,American serial killer,46,Kevin Spacey,"American actor, singer, an",1959 -
Andy Connell,English keyboard player and songwriter (Swing Out Sister and A Certai,1961 -,Felix Dexter,Caribbean-English comedian and actor,52,Cholo Laurel,Filipino director an,1961 -
Mairéad Ní Mhaonaigh,"Irish singer and fiddler (Altan, T with the Maggies, and Strin",1962 -,Jeff Stoughton,Canadia,1963 -,Sandra Bullock,American actress an,1964 -
Anne Provoost,Belgia,1964 -,Danny Woodburn,America,1964 -,Jeremy Piven,American actor an,1965 -
Anthony Durante,American wrestler,36,Tim Schafer,"American video game designer, founded Double Fin",1967 -,Jason Statham,English actor an,1967 -
Jim Naismith,Scottish biologist an,1968 -,Olivia Williams,Englis,1968 -,Greg Colbrunn,American baseball player an,1969 -
Joan Wasser,"American singer-songwriter and violinist (The Dambuilders, Those Bastard Souls, and Antony and th",1970 -,Kendall Francois,American serial killer,43,Khaled Mahmud,Bangladeshi cricketer an,1971 -
Indrek Sei,Estonia,1972 -,Wayne Wonder,Jamaica,1972 -,Vaniity,Mexican-American por,1973 -
Lenka Kotková,Czec,1973 -,Chris Pirillo,"American television host, author, an",1973 -,Mariano Raffo,Argentinian director an,1973 -
Kees Meeuws,New Zealand rugby player an,1974 -,Daniel Negreanu,Canadian poke,1974 -,Dean Sturridge,English footballer an,1974 -
Joe Smith,American basketbal,1975 -,Elizabeth Truss,"English accountant and politician, Secretary of State for Environment, Food and Rura",1975 -,Elena Kustarova,Russian ice dancer an,1976 -
Martin Laursen,Danish footballer an,1977 -,Rebecca St. James,Australian-American singer-songwriter an,1977 -,Tanja Szewczenko,German figure skater an,1977 -
Friedrich Michau,German rugb,1979 -,Derek Paravicini,Englis,1979 -,Peter Sarno,Canadian ice hocke,1979 -
Erik Westrum,American ice hocke,1979 -,Dave Baksh,"Canadian singer-songwriter, guitarist, and producer (Sum 41, Brown Brigade, and Orga",1980 -,Lee Dong-gun,South Korean actor an,1980 -
Ellen Hamilton Latzen,America,1980 -,Liliane Klein,American actress an,1980 -,Vildan Atasever,Turkis,1981 -
Maicon Sisenando,Brazilia,1981 -,Mugdha Godse,Indian model an,1982 -,Gilad Hochman,Israel,1982 -
Chez Starbuck,America,1982 -,Zara,Russian singer an,1983 -,Hila Bronstein,Israeli-German singer-songwrite,1983 -
Stephen Makinwa,Nigeria,1983 -,Roderick Strong,America,1983 -,Naomi van As,Dutch field hocke,1983 -
Kristina Dörfer,German actress an,1984 -,Kyriakos Ioannou,Cypriot hig,1984 -,Benjamin Kayser,French rugb,1984 -
Alex Parks,Englis,1984 -,Sabri Sarıoğlu,Turkis,1984 -,Marcus Benard,American footbal,1985 -
Gaël Clichy,Frenc,1985 -,Da L.E.S,South African American hip ho,1985 -,Audrey De Montigny,Canadia,1985 -
Natsuki Katō,Japanese model an,1985 -,Jasmine Lennard,Englis,1985 -,Matt Riddlehoover,"American actor, director, producer, an",1985 -
Leo Hallerstam,Swedis,1986 -,Monica Raymund,America,1986 -,John White,Englis,1986 -
Alec Martinez,Canadian ice hocke,1987 -,Miriam McDonald,Canadian actress an,1987 -,Fredy Montero,Colombia,1987 -
Francia Raisa,America,1988 -,Areti Ketime,Greek singer and santour,1989 -,Ivian Sarcos,"Venezuelan model, Miss Worl",1989 -
Tyson Barrie,Canadian ice hocke,1991 -,Marika Koroibete,Fijian rugb,1992 -,Elizabeth Gillies,American actress an,1993 -
Ella Leivo,Finnish tenni,1994 -,Holly Bodimeade,Englis,1995 -,Olivia Breen,English-Wels,1996 -
Maya Sakura,Japanese singer an,1998 -,Ludovico Sforza,Italian son of Francesco I Sforza,56,Johann Bernoulli,Swiss mathematician and academic,81
Jeanne Baré,French explorer,63,François-Hippolyte Barthélémon,French-English violinist and composer,67,Samuel Smith,American general and politician,87
Joseph Anton Koch,Austrian painter,71,Jacob Aall,Norwegian economist and politician,71,Thomas Campbell,Scottish-French poet and academic,67
Mauro Giuliani,Italian singer-songwriter and guitarist,47,Denis Davydov,Russian general and poet,55,Thomas Lanier Clingman,American general and politician,85
Alexandre Dumas,"fils, French author and playwright",71,Thomas George Bonney,"English geologist, mountaineer, and academic",90,Giosuè Carducci,"Italian poet and educator, Nobel Prize laureate",72
Vladimir Korolenko,"Ukrainian journalist, author, and activist",68,Takahashi Korekiyo,"Japanese accountant and politician, 20th Prime Minister of Japan",82,José Celso Barbosa,"Puerto Rican physician, sociologist, and politician",64
António José de Almeida,"Portuguese physician and politician, 6th President of Portugal",63,Enrique Granados,Spanish pianist and composer,49,Hilaire Belloc,"French-born British historian, author, and politician",83
Hans Fischer,"German chemist and academic, Nobel Prize laureate",64,Geoffrey de Havilland,"English pilot and engineer, founded the de Havilland Aircraft Company",83,Ernst May,German architect and urban planner,84
Armas Taipale,Finnish discus thrower and shot putter,86,Jacob van der Hoeden,Dutch-Israeli veterinarian and academic,77,Mientje Kling,Dutch actress,72
Henri Longchambon,French lawyer and politician,73,Nikolay Cherkasov,Russian actor,63,Michail Stasinopoulos,"Greek jurist and politician, President of Greece",99
Leo Durocher,American baseball player and manager,86,Jerzy Giedroyc,Polish author and activist,94,Herbert Jasper,Canadian psychologist and neurologist,93
Joseph Mitchell,American journalist and author,88,Julien Gracq,French author and critic,97,Fern Persons,American actress,102
Rayner Heppenstall,English author and poet,70,Vernon Elliott,"English bassoon player, composer, and conductor",84,Gérard Côté,Canadian runner,80
August Sang,Estonian poet and translator,55,Mario Del Monaco,Italian tenor and actor,67,Josef Priller,German colonel and pilot,46
Skippy Williams,American saxophonist and arranger,78,Keenan Wynn,American actor and singer,70,Bourvil,French actor and singer,53
Garry Davis,"American pilot and activist, created the World Passport",92,Émile Genest,Canadian-American actor,82,Adolfo Celi,"Italian actor, director, and screenwriter",64
Mas Oyama,South Korean-Japanese martial artist,71,Vincent Canby,American historian and critic,76,Otar Taktakishvili,Georgian composer and conductor,65
C. Rajadurai,"Sri Lankan journalist and politician, 1st Mayor o",1927 -,John Seigenthaler,American journalist and academic,87,Joseph Kittinger,American colonel an,1928 -
Jean Baudrillard,French sociologist and philosopher,78,Harvey Fuqua,American singer-songwriter and producer (The Moonglows and New Birth),81,Jack Higgins,English author an,1929 -
Joy Whitby,"English director, producer, an",1930 -,Shirley Williams,"English academic and politician, Secretary of State fo",1930 -,Khieu Samphan,"Cambodian academic and politician, 28th Prime Minister o",1931 -
Forest Able,American basketbal,1932 -,Nick Reynolds,American singer and bongo player (The Kingston Trio),75,Ted Whitten,Australian footballer and journalist,62
Billy McCullough,Iris,1935 -,J. Robert Hooper,American businessman and politician,72,Anna Dawson,English actress an,1937 -
Robert Holmes à Court,South African-Australian businessman and lawyer,53,Gary Gygax,"American game designer, co-created Dungeons & Dragons",70,William Eggleston,American photographer an,1939 -
Pina Bausch,German dancer and choreographer,69,Christian Boesch,Austrian oper,1941 -,Johannes Fritsch,German viola player and composer,69
John Pleshette,"American actor, director, an",1942 -,Dennis Ralston,American tenni,1942 -,Jeremy Greenstock,"English diplomat, British Ambassador to the Unite",1943 -
Bobbie Gentry,American singer-songwriter an,1944 -,Jean-Marie Leblanc,French cyclist an,1944 -,Barbara Thomson,English saxophonist and composer (Colosseum and New Jaz,1944 -
Rade Šerbedžija,Croatian actor an,1946 -,Kazuyoshi Miura,Japanese businessman,61,Peggy Fleming,American figure skater an,1948 -
Pavlos Sidiropoulos,Greek singer-songwriter and guitarist,42,Betty Thomas,"American actress, director, an",1948 -,Henny Vrienten,Dutch singer-songwriter and bass player (Do,1948 -
André Dupont,Canadian ice hockey player an,1949 -,Susan Gordon,American actress,62,Rory MacDonald,Scottish singer-songwriter and bass player (Runrig and The Band fro,1949 -
Robert Rankin,English author an,1949 -,Simon Jones,Englis,1950 -,Roseanna Cunningham,"Scottish lawyer and politician, Minister for Community Safety and Lega",1951 -
Rolf Thung,Dutch tenni,1951 -,Marvin Barnes,American basketball player,62,Hannu-Pekka Hänninen,Finnis,1952 -
Chung Dong-young,"South Korean journalist and politician, 31st South Korean Minister o",1953 -,Yahoo Serious,"Australian actor, director, producer, an",1953 -,Philippe Alliot,French race car driver an,1954 -
Ricardo Uceda,Peruvian journalist an,1954 -,Cat Bauer,"American journalist, author, an",1955 -,Allan Border,Australian cricketer an,1955 -
Bobby Rondinelli,"American drummer (Blue Öyster Cult, Rainbow, Quiet Riot and Blac",1955 -,Carol Leifer,"American actress, producer, an",1956 -,Bill Engvall,"American comedian, actor, an",1957 -
Allan Simmons,English Scrabbl,1957 -,Christopher Dean,English figure skater an,1958 -,Kimmo Hakola,Finnis,1958 -
Hugh Green,American footbal,1959 -,Yiannos Papantoniou,"French-Greek economist and politician, Greek Minister of Nationa",1959 -,Jo Durie,English tennis player an,1960 -
Conway Savage,Australian singer-songwriter and keyboard player (Nick Cave and the Ba,1960 -,Emily Thornberry,English lawyer an,1960 -,Paul Attfield,Materials chemist at the University o,1962 -
Karrin Allyson,American singer an,1963 -,K. S. Chithra,India,1963 -,Donnie Yen,"Chinese-Hong Kong actor, director, producer, and martia",1963 -
Melissa Mendez,Filipin,1964 -,José Luis Chilavert,Paraguaya,1965 -,Wladimir Reznitschenko,Kazakhstani-Germa,1965 -
Rahul Bose,"Indian journalist, actor, director, an",1967 -,Juliana Hatfield,"American singer-songwriter and guitarist (Blake Babies, Some Girls, and Th",1967 -,Takuya Kirimoto,Japanese actor and voic,1967 -
Sasha Mitchell,America,1967 -,Neil Smith,Englis,1967 -,Kellie Waymire,American actress,36
Maria Grazia Cucinotta,Italian actress an,1968 -,Cliff Curtis,New Zealand actor an,1968 -,Tom Goodwin,American baseball player an,1968 -
Julian McMahon,Australian actor an,1968 -,Ricardo Rosset,Brazilian race ca,1968 -,Triple H,American wrestler an,1969 -
Jonty Rhodes,South African cricketer an,1969 -,Nikolaj Coster-Waldau,Danish actor an,1970 -,David Davies,English-Wels,1970 -
Ronato Alcano,Filipino poo,1972 -,Jill Arrington,America,1972 -,Takako Fuji,Japanese actress an,1972 -
Sheikh Muszaphar Shukor,Malaysian surgeon an,1972 -,Cassandra Clare,American journalist an,1973 -,Abe Cunningham,American drummer (Deftones an,1973 -
Tracy Shaw,English actress an,1973 -,Gorden Tallis,Australian rugby player an,1973 -,Eason Chan,"Hong Kong singer, actor, an",1974 -
Serkan Çeliköz,Turkish keyboard player and songwriter (Kargo an,1975 -,Shea Hillenbrand,American basebal,1975 -,Elise Laverick,Englis,1975 -
Alessandro Pistone,Italia,1975 -,Alex Rodriguez,American basebal,1975 -,Demis Hassabis,English computer scientist an,1976 -
Foo Swee Chin,Singaporea,1977 -,Björn Dreyer,Germa,1977 -,Jonathan Rhys Meyers,Irish actor an,1977 -
Jorge Arce,Mexica,1979 -,Sidney Govou,Frenc,1979 -,Jaymee Joaquin,Filipino model an,1979 -
Allan Davis,Australia,1980 -,Wesley Gonzales,Filipino basketbal,1980 -,Dolph Ziggler,American wrestler an,1980 -
Mari Hoshino,Japanese actress an,1981 -,Collins Obuya,Kenya,1981 -,Dash Snow,American painter and photographer,28
Cascy Beddow,Canadia,1982 -,AJ Dee,Filipino actor an,1982 -,Neil Harbisson,"English-Catalan painter, composer, an",1982 -
Martijn Maaskant,Dutc,1983 -,Goran Pandev,Macedonia,1983 -,Blair Redford,America,1983 -
Antoine Bethea,American footbal,1984 -,Tsuyoshi Nishioka,Japanese basebal,1984 -,Max Scherzer,American basebal,1984 -
Iekeliene Stange,Dutch model an,1984 -,Kenny Wormald,"American actor, dancer, an",1984 -,Husain Abdullah,American footbal,1985 -
Benedita Pereira,Portugues,1985 -,Matteo Pratichetti,Italian rugb,1985 -,Lou Taylor Pucci,America,1985 -
DeMarre Carroll,American basketbal,1986 -,Ryan Flaherty,American basebal,1986 -,Ryan Griffen,Australia,1986 -
Nathan Stephenson,Canadia,1986 -,Jacoby Ford,American footbal,1987 -,Marek Hamšík,Slova,1987 -
Sarah Parsons,American ice hocke,1987 -,Risa Yoshiki,"Japanese model, actress, an",1987 -,Adam Biddle,Australia,1988 -
Ryan Tannehill,American footbal,1988 -,Charlotte Arnold,Canadia,1989 -,Mohamed Bangura,Sierra Leonea,1989 -
Nick Hogan,American race car driver an,1990 -,Paolo Hurtado,Peruvia,1990 -,Cheyenne Kimball,American singer-songwriter and guitaris,1990 -
Stephen Li-Chung Kuo,Taiwanese-American figur,1990 -,Rena Matsui,"Japanese actress and singer (SKE48, AKB48, an",1991 -,Max Power,Englis,1993 -
Mirjana Puhar,Serbian-American model,20,Ashlyn Sanchez,America,1996 -,Margaret of Durazzo,,65
Charles Ancillon,French jurist and diplomat,56,Thomas Heyward,"Jr., American judge and politician",63,Fabre d'Églantine French actor,"playwright, and politician",44
Ludwig Feuerbach,German anthropologist and philosopher,68,Stefan Dunjov,Bulgarian colonel,74,Gerard Manley Hopkins,English priest and poet,45
Elias M. Ammons,"American businessman and politician, 19th Governor of Colorado",65,Grand Duchess Anastasia Mikhailovna of Russia,,62,Huseyn Khan Nakhchivanski,Russian general,56
Albertson Van Zo Post,American fencer,72,Charles Dillon Perrine,American-Argentinian astronomer,84,Albert Sarraut,"French journalist and politician, 106th Prime Minister of France",90
Lucy Burns,"American activist, co-founded the National Woman's Party",87,Stefan Filipkiewicz,Polish painter,65,Marcel Duchamp,French-American painter and sculptor,81
Rued Langgaard,Danish organist and composer,59,Barbara La Marr,American actress and screenwriter,30,Lawrence Gray,American actor,72
Freddie Fitzsimmons,"American baseball player, coach, and manager",78,Rudy Vallée,"American singer, actor, and saxophonist",85,Albert Namatjira,Australian painter,57
Earl Tupper,"American inventor and businessman, founded Tupperware Brands",76,Aenne Burda German publisher,,96,Malcolm Lowry,English author and poet,48
Charles Hard Townes,"American physicist and academic, Nobel Prize laureate",100,Dick Sprang,American illustrator,85,David Brown,American journalist and producer,94
Andrew V. McLaglen,English-American director and producer,94,Jacques Piccard,Belgian-Swiss oceanographer and engineer,86,Ray Ellis,American conductor and producer,85
C. T. Vivian,"American minister, author, an",1924 -,Baruch Samuel Blumberg,"American physician and academic, Nobel Prize laureate",86,Charlie Biddle,American-Canadian bassist,77
Jacqueline Kennedy Onassis,"American journalist, 37th First Lady of the United States",65,Firoza Begum,Bangladeshi singer,84,Junior Kimbrough,American singer and guitarist,68
Ramsey Muir Withers,Canadian general,84,Alan Brownjohn,English poet an,1931 -,Natalie Babbitt,American author an,1932 -
Jacques d'Amboise,American dancer an,1934 -,Lau Kar-leung,"Chinese actor, martial artist, and director",79,Simon Dee,English talk show host,74
